year,state,populationMaleWhite,populationFemaleWhite,populationMaleBlack,populationFemaleBlack,populationMaleAsian,populationFemaleAsian,populationMaleIndigenous,populationFemaleIndigenous,populationMalePacific,populationFemalePacific,populationOther_x,populationOther_y,populationTwo_x,populationTwo_y,populationMaleHispanic,populationFemaleHispanic,medianAgeMaleWhite,medianAgeFemaleWhite,medianAgeMaleBlack,medianAgeFemaleBlack,medianAgeMaleAsian,medianAgeFemaleAsian,medianAgeMaleIndigenous,medianAgeFemaleIndigenous,medianAgeMalePacific,medianAgeFemalePacific,medianAgeOther_x,medianAgeOther_y,medianAgeTwo_x,medianAgeTwo_y,medianAgeMaleHispanic,medianAgeFemaleHispanic,povertyWhite,povertyAsian,povertyIndigenous,povertyPacific,povertyOther,povertyTwo,povertyHispanic,medianHIncomeWhite,medianHIncomeBlack,medianHIncomeAsian,medianHIncomeIndigenous,medianHIncomePacific,medianHIncomeOther,medianHIncomeTwo,medianHIncomeHispanic,perCapitaIncomeWhite,perCapitaIncomeBlack,perCapitaIncomeAsian,perCapitaIncomeIndigenous,perCapitaIncomePacific,perCapitaIncomeOther,perCapitaIncomeTwo,perCapitaIncomeHispanic,bachelorDegreeMaleWhite,bachelorDegreeFemaleWhite,bachelorDegreeMaleBlack,bachelorDegreeFemaleBlack,bachelorDegreeMaleAsian,bachelorDegreeFemaleAsian,bachelorDegreeMaleIndigenous,bachelorDegreeFemaleIndigenous,bachelorDegreeMalePacific,bachelorDegreeFemalePacific,bachelorDegreeMaleOther,bachelorDegreeMaleTwo,bachelorDegreeFemaleTwo,bachelorDegreeMaleHispanic,bachelorDegreeFemaleHispanic,veteranMaleWhite,veteranFemaleWhite,veteranMaleBlack,veteranFemaleBlack,veteranMaleAsian,veteranFemaleAsian,veteranMaleIndigenous,veteranFemaleIndigenous,veteranMalePacific,veteranFemalePacific,veteranMaleOther,veteranFemaleOther,veteranMaleTwo,veteranFemaleTwo,veteranMaleHispanic,veteranFemaleHispanic,laborForceMaleWhite,laborForceFemaleWhite,laborForceMaleBlack,laborForceFemaleBlack,laborForceMaleAsian,laborForceFemaleAsian,laborForceMaleIndigenous,laborForceFemaleIndigenous,laborForceMalePacific,laborForceFemalePacific,laborForceMaleOther,laborForceFemaleOther,laborForceMaleTwo,laborForceFemaleTwo,laborForceMaleHispanic,laborForceFemaleHispanic,population,personalIncome,unemploymentRate,homeownershipRate,realMedianHouseholdIncome,bachelorDegreeRate,povertyRate
2009,Maryland,1589185,1665946,758959,866921,133588,144144,7632,7762,1458,1552,91156,76610,55697,58423,196306,175000,40.1,42.3,31.9,36,35,36.2,37.1,38.1,30.2,30.4,27,27,16.6,19.6,27.4,27.5,3186324,273690,14527,2770,164405,111214,364148,76868,54473,86487,52231,61612,57978,63827,61135,40333,25907,34985,26517,27514,18372,18991,20476,446914,447904,102801,143978,58054,57250,911,1082,299,360,6631,6534,6878,19958,21672,166215,19273,79742,17678,2945,698,849,159,230,106,2227,781,4075,1377,6656,2125,1074551,812507,512693,462325,93786,71556,5417,3857,1269,932,63232,35837,26899,22238,131495,79791,5730388,48448,6.6,69.6,88120,35.7,9.2
2009,Massachusetts,2481751,2658450,194830,204394,152094,160053,6315,6496,1059,1287,134983,136057,61240,61894,273382,269767,40.2,42.6,29.3,32.4,32.2,32.2,32.9,34.5,26,30.7,27,27.8,19.5,19.9,25.8,27.2,4966088,299167,12033,1996,263547,118095,524845,68883,41374,73159,38808,49701,31829,47629,32205,36923,19560,30515,20842,19955,15222,15616,15605,694197,746121,24687,27077,58656,54273,756,1106,164,177,6154,8450,10053,21051,25037,196102,14050,9179,958,1695,270,897,50,169,0,2667,272,2372,328,6098,697,1699567,1323550,132057,100018,109634,77585,4504,3439,891,628,93312,60704,32915,23809,179780,114423,6517613,50751,7,65.1,81510,38.2,10.3
2009,Michigan,3839837,3943780,664888,740627,116541,118901,26327,25943,1425,1505,82881,72643,93451,94717,213263,192898,39.1,41.3,29.9,34,31.7,32.4,33,34.4,20.5,26.7,27.9,25.6,17.3,18.3,25.5,24.7,7625072,229791,50123,2745,151129,179819,394114,52010,31278,70182,36505,28518,37146,36871,38416,27421,16439,29947,19218,17634,14393,12011,14959,689173,673889,45689,73227,48613,41452,1597,2253,99,100,6909,4179,4497,13386,14045,351148,23478,46586,5643,1468,182,3056,156,109,20,3027,334,5280,722,8108,1090,2589988,1820265,432823,324554,82323,48696,18521,11363,907,683,56371,28416,46204,31749,134757,74644,9901591,34247,10.9,74.5,63140,24.6,16.1
2009,Minnesota,2189264,2240399,117427,107026,91531,94960,26475,27971,1037,1260,41962,34560,47028,46154,112388,96531,38.6,40.7,26.9,25.9,26.7,27.8,27.5,30.1,28.1,35.7,26.7,24.2,14.7,15.3,24.6,22.1,4323698,182126,51526,2257,74436,90344,203117,59167,28913,60277,32669,43438,40537,43358,40068,31633,15465,22359,15840,18620,14306,12207,14117,476965,491823,14155,9276,22354,20266,1701,2037,112,140,3749,2993,2546,7486,7066,203963,14588,5628,534,1409,119,2741,341,22,9,1037,44,2290,255,2942,329,1490278,1172147,78591,49727,60792,42904,17647,12324,723,602,27944,13935,20735,15385,69323,37268,5281203,40963,7.2,72.9,77000,31.5,10.9
2009,Mississippi,841995,877021,509900,571689,12328,12327,6442,6387,371,445,13780,8161,12999,14625,35314,26142,38,41.2,27.1,31.2,30,35.9,26.6,28.8,19.9,24,25,25,18.4,17.9,25.2,25.1,1669623,23848,12360,778,20608,26410,58196,46405,23935,43576,36154,43163,35025,34818,36941,24469,12174,21171,13850,13682,11720,11633,14171,132325,135148,23478,48211,3188,3219,355,262,0,0,1093,384,480,1723,1757,80819,6830,34297,6270,419,46,540,102,38,11,418,54,1255,264,1755,283,554253,359782,326792,245153,8980,5927,4169,2542,322,179,9424,3029,6265,3971,23581,9167,2958774,30220,8.1,75.5,48160,19.6,21.8
2009,Missouri,2371750,2474405,308063,350570,40475,44740,11292,12332,2082,2423,33247,27701,56663,59188,96932,87899,38,40.7,28.3,33.1,31.8,33.3,37.1,38.4,24.9,29.1,26.5,25.7,18.6,19.4,25,23.9,4718624,82867,22715,4124,59033,110498,178945,48494,30388,56370,32200,44925,37155,35209,39640,26176,16042,27015,19827,15862,14020,11978,14552,414659,428453,22407,34922,15307,13336,1174,1364,74,95,4026,2149,1864,7680,7362,249176,19750,28250,4517,843,98,1700,248,213,47,1134,217,4538,507,4078,687,1579684,1154831,199678,165576,28424,20813,8353,5611,1295,950,22021,10858,28826,19584,60371,34094,5961088,36306,8,72,66950,25.2,14.6
2009,Montana,420175,420610,3218,2065,2443,3890,28927,30074,587,238,3539,3076,10916,11131,13557,13296,39.9,42.3,23.3,18,28.4,32.4,25.2,26.9,23.2,25.5,30.5,24.5,18.4,19.7,23,24.9,820977,6055,56788,798,6387,21243,25728,44385,24734,34300,26685,60625,34767,33377,31668,24233,11092,20196,11877,15338,16057,13047,13706,81074,80811,189,234,621,910,1412,2020,3,24,586,471,252,975,1266,50974,5221,283,137,154,13,2362,283,42,2,308,45,939,125,932,164,282926,202998,2002,690,1807,1947,18246,12141,362,148,2895,1381,5719,4389,8225,5311,983982,34479,6.6,70.7,55520,27.4,15
2009,Nebraska,733766,758678,36428,36378,13745,14630,7336,7630,968,963,26753,22656,16404,16775,73371,63951,37.4,40.2,27.6,28.9,29.7,31.1,24,27.4,24.5,23.7,26.4,22.7,15.7,16.2,24.2,21.6,1447885,27641,14071,1875,48346,31448,133249,50031,26505,56563,27626,42601,38186,31597,37745,26566,14593,21756,11734,16635,13101,10071,12514,138185,144185,3195,3368,4184,4429,386,400,126,24,859,1103,924,2887,2835,71934,6911,4004,818,465,68,797,102,49,21,789,55,1065,98,2485,196,487764,383729,23884,17461,9677,6903,4558,3017,594,464,17492,8762,7687,5517,44873,23463,1812683,39422,4.1,70.2,68090,27.4,12.2
2009,Nevada,742324,720060,95175,94918,71694,85586,14608,15893,6186,6223,86331,76122,41884,41794,340980,300613,41.2,42.3,30.6,32.2,36.2,39.6,31.1,35.2,33.1,29.3,26.9,26.3,17.3,18.7,25.9,25,1444230,156408,29731,12087,160585,82057,632860,60459,42257,61167,44608,57561,49937,51797,46634,33959,20506,27856,20632,22369,16858,14652,15708,141901,120185,8658,9285,18910,23690,1068,1101,465,409,2833,3248,2808,13799,12982,104990,9703,11223,1510,3893,498,1828,190,620,23,2563,268,2949,405,9112,1025,504653,342805,62998,45440,50442,45156,9673,7469,4268,2905,56849,31302,20364,14769,215293,114704,2684665,36125,9.7,62.4,70610,21.8,12.4
2009,New Hampshire,601657,622625,7958,6269,12303,12678,1652,1558,179,112,4945,4836,8490,7584,17329,16449,39.7,41.5,25.7,26.5,32.2,31.4,35.7,39.2,34.6,35.6,25,25.8,15.1,18.4,25.6,25.2,1189169,23924,3054,275,9569,15458,32373,63280,40779,73612,37309,48229,43672,60142,52137,31294,18825,29896,23504,22263,16577,16313,18984,133789,136412,1135,1166,5383,4120,147,231,53,17,887,384,671,2053,2384,66648,5981,662,116,296,16,309,111,12,0,139,31,637,88,936,286,412819,318077,5487,2745,8837,5429,1229,691,172,44,3319,2224,3747,2741,11005,6698,1316102,45119,5,76,88040,32,8.6
